Timestamp,Elapsed_Seconds,AIN1,AIN2,AIN3,AIN4,AIN5,AIN6,AIN7,AIN8,AIN9
2026-07-31 10:03:03.171,0.0,62516,50547,61131,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:03.210,0.04,62516,50547,61131,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:03.253,0.08,62516,50547,61131,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:03.302,0.13,62516,50547,61131,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:03.349,0.18,62516,50547,61131,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:03.399,0.23,62516,50547,61131,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:03.449,0.28,62516,50547,61131,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:03.494,0.32,53670,50547,61428,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:03.542,0.37,53670,43072,61428,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:03.594,0.42,53670,43072,61428,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:03.637,0.47,53670,43072,61428,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:03.687,0.52,53670,43072,61428,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:03.736,0.56,53670,43072,61428,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:03.782,0.61,53670,43072,61428,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:03.830,0.66,53670,43072,61428,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:03.876,0.71,53670,43072,61428,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:03.924,0.75,53670,43072,61428,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:03.972,0.8,53670,43072,61428,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:04.017,0.85,53670,43072,61428,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:04.067,0.9,56468,43072,61428,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:04.114,0.94,56468,44513,61428,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:04.160,0.99,56468,44513,61428,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:04.208,1.04,56468,44513,61428,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:04.259,1.09,56468,44513,61428,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:04.294,1.12,56468,44513,61428,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:04.342,1.17,56468,44513,61428,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:04.387,1.22,56468,44513,61428,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:04.436,1.27,56468,44513,61428,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:04.481,1.31,56468,44513,61428,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:04.531,1.36,56468,44513,61428,65535,65535,65535,65535,65535,65535
2026-07-31 10:03:04.578,1.41,56468,44513,61428,65535,65535,65535,65535,65535,65535
